1 44002 26246
2 35660 33496
4 30282 30305
16 28454 27647
64 34579 33466
256 43706 42625
1024 93178 92232
4096 256403 255362
16384 1025212 1022215
65536 3726668 3717657
262144 15184490 15144762
524288 24414719 24326421
