1 10978 9463
1 10996 9484
1 11042 9435
1 12669 2622
1 22178 20686
1 3779 2616
1 3784 2655
1 3789 2581
1 3791 2654
1 3817 2601
1 3817 2623
1 3820 2607
1 3822 2703
1 3823 2624
1 3827 2574
1 3829 2698
1 3838 2657
1 3840 2716
1 3847 2670
1 3849 2634
1 3849 2694
1 3850 2663
1 3853 2657
1 3853 2666
1 3853 2684
1 3855 2696
1 3859 2713
1 3860 2691
1 3861 2658
1 3862 2740
1 3867 2692
1 3871 2725
1 3874 2691
1 3874 2734
1 3875 2633
1 3877 2714
1 3883 2679
1 3883 2698
1 3884 2669
1 3885 2705
1 3885 2750
1 3886 2668
1 3886 2669
1 3886 2713
1 3887 2649
1 3888 2699
1 3888 2721
1 3891 2732
1 3892 2723
1 3898 2737
1 3900 2778
1 3901 2649
1 3901 2745
1 3902 2732
1 3904 2679
1 3906 2788
1 3909 2709
1 3910 2787
1 3912 2750
1 3912 2774
1 3912 2774
1 3913 2738
1 3914 2769
1 3915 2718
1 3916 2737
1 3918 2792
1 3919 2716
1 3921 2727
1 3922 2748
1 3923 2696
1 3924 2743
1 3924 2779
1 3925 2749
1 3926 2780
1 3927 2742
1 3929 2721
1 3929 2727
1 3929 2741
1 3930 2711
1 3932 2707
1 3932 2767
1 3932 2780
1 3933 2718
1 3934 2702
1 3934 2717
1 3935 2763
1 3935 2775
1 3936 2726
1 3938 2783
1 3939 2712
1 3939 2726
1 3940 2754
1 3941 2757
1 3942 2743
1 3942 2758
1 3946 2747
1 3947 2772
1 3948 2727
1 3948 2783
1 3949 2729
1 3949 2764
1 3950 2747
1 3952 2751
1 3953 2705
1 3954 2715
1 3954 2814
1 3958 2763
1 3959 2777
1 3960 2779
1 3961 2773
1 3965 2750
1 3967 2759
1 3968 2795
1 3970 2723
1 3972 2761
1 3972 2781
1 3975 2759
1 3975 2799
1 3976 2779
1 3976 2782
1 3976 2799
1 3977 2745
1 3978 2767
1 3979 2722
1 3981 2841
1 3982 2731
1 3982 2753
1 3983 2834
1 3987 2722
1 3988 2799
1 3988 2804
1 3989 2804
1 3990 2826
1 3994 2792
1 3994 2839
1 3995 2825
1 3999 2745
1 4002 2745
1 4002 2794
1 4010 2823
1 4011 2778
1 4012 2719
1 4013 2773
1 4025 2831
1 4025 2885
1 4050 2766
1 4058 2616
1 4091 2742
1 4124 2784
