1 , 16427 , 9405 , 18288
2 , 52753 , 16048 , 53304
4 , 78350 , 26397 , 78904
16 , 77897 , 26333 , 78463
64 , 77754 , 26161 , 78316
256 , 78350 , 26248 , 78915
1024 , 79607 , 26765 , 80164
4096 , 82187 , 20283 , 82720
16384 , 67577 , 10923 , 67823
65536 , 198667 , 30877 , 198894
262144 , 1206114 , 364476 , 1206541
524288 , 1791249 , 429878 , 1791646
1 , 4187 , 2891 , 4520
2 , 3729 , 2582 , 4008
4 , 3630 , 2534 , 3911
16 , 3822 , 2656 , 4101
64 , 3803 , 2520 , 4068
256 , 4292 , 2625 , 4600
1024 , 6217 , 2724 , 6485
4096 , 14206 , 3317 , 14515
16384 , 45623 , 6141 , 45907
65536 , 172373 , 17016 , 172680
262144 , 698913 , 69028 , 699156
524288 , 1460311 , 137204 , 1460493
1 , 3982 , 2650 , 4222
2 , 3659 , 2508 , 3943
4 , 3658 , 2502 , 3913
16 , 3665 , 2497 , 3929
64 , 3921 , 2608 , 4193
256 , 4241 , 2575 , 4560
1024 , 6185 , 2689 , 6449
4096 , 13731 , 3183 , 14037
16384 , 45559 , 6013 , 45825
65536 , 174484 , 17147 , 174788
262144 , 696170 , 68028 , 696437
524288 , 1396225 , 137039 , 1396434
1 , 3911 , 2640 , 4197
2 , 3679 , 2461 , 3963
4 , 3632 , 2505 , 3914
16 , 3755 , 2528 , 4036
64 , 3771 , 2497 , 4037
256 , 4264 , 2531 , 4530
1024 , 6277 , 2708 , 6558
4096 , 13530 , 3082 , 13798
16384 , 45394 , 5971 , 45669
65536 , 172088 , 16600 , 172363
262144 , 697036 , 67801 , 697290
524288 , 1394221 , 136571 , 1394429
1 , 5305 , 4099 , 5516
2 , 3778 , 2573 , 4142
4 , 3466 , 2325 , 3757
16 , 3524 , 2332 , 3787
64 , 3597 , 2338 , 3860
256 , 4067 , 2351 , 4328
1024 , 6506 , 2603 , 6761
4096 , 13618 , 3048 , 13868
16384 , 45255 , 5929 , 45538
65536 , 171665 , 16447 , 171959
262144 , 770637 , 145112 , 770864
524288 , 1468871 , 210972 , 1469051
1 , 3721 , 2621 , 4014
2 , 3489 , 2324 , 3768
4 , 3426 , 2287 , 3701
16 , 3572 , 2410 , 3841
64 , 3533 , 2328 , 3799
256 , 4049 , 2323 , 4313
1024 , 5961 , 2525 , 6236
4096 , 13389 , 2910 , 13649
16384 , 58035 , 5823 , 58313
65536 , 172249 , 16525 , 172549
262144 , 716965 , 67178 , 717209
524288 , 1436074 , 177761 , 1436518
1 , 4638 , 3400 , 4984
2 , 3709 , 2611 , 3988
4 , 3621 , 2486 , 3922
16 , 3612 , 2462 , 3896
64 , 3889 , 2576 , 4202
256 , 4232 , 2551 , 4528
1024 , 6161 , 2648 , 6431
4096 , 13696 , 3185 , 14006
16384 , 45936 , 6510 , 46208
65536 , 172828 , 17293 , 173117
262144 , 697665 , 70111 , 697915
524288 , 1395528 , 136307 , 1395736
1 , 4265 , 2704 , 4509
2 , 3572 , 2496 , 3844
4 , 3624 , 2451 , 3929
16 , 3770 , 2565 , 4009
64 , 3742 , 2474 , 4009
256 , 4228 , 2510 , 4498
1024 , 6130 , 2641 , 6403
4096 , 13602 , 3080 , 13888
16384 , 45327 , 5868 , 45627
65536 , 171963 , 16672 , 172239
262144 , 696779 , 67660 , 697023
524288 , 1393573 , 135785 , 1393708
1 , 3703 , 2533 , 3953
2 , 3608 , 2471 , 3919
4 , 3430 , 2241 , 3711
16 , 3422 , 2243 , 3680
64 , 3522 , 2237 , 3788
256 , 4032 , 2342 , 4314
1024 , 5947 , 2485 , 6207
4096 , 13527 , 2961 , 13789
16384 , 45789 , 5997 , 46052
65536 , 172233 , 16997 , 172466
262144 , 763864 , 117087 , 764103
524288 , 1436499 , 178969 , 1436904
1 , 5937 , 4470 , 6252
2 , 3701 , 2679 , 3984
4 , 3565 , 2457 , 3821
16 , 3822 , 2592 , 4079
64 , 3787 , 2517 , 4040
256 , 4158 , 2519 , 4408
1024 , 6201 , 2723 , 6454
4096 , 13702 , 3098 , 13955
16384 , 45970 , 6381 , 46245
65536 , 174569 , 17329 , 174859
262144 , 709796 , 82291 , 710044
524288 , 1397392 , 137023 , 1397543
1 , 3834 , 2616 , 4099
2 , 3533 , 2408 , 3844
4 , 3643 , 2455 , 3911
16 , 3669 , 2482 , 3951
64 , 3720 , 2468 , 3985
256 , 4171 , 2437 , 4457
1024 , 6054 , 2564 , 6324
4096 , 13646 , 3110 , 13929
16384 , 45473 , 6080 , 45750
65536 , 171714 , 16451 , 172007
262144 , 718379 , 89510 , 718841
524288 , 1512353 , 258244 , 1512792
1 , 4382 , 3509 , 4735
2 , 3701 , 2570 , 3985
4 , 4142 , 2626 , 4427
16 , 3863 , 2740 , 4103
64 , 3721 , 2481 , 3986
256 , 5469 , 3813 , 5734
1024 , 6189 , 2659 , 6437
4096 , 13714 , 3134 , 13975
16384 , 45804 , 6385 , 46092
65536 , 171961 , 16603 , 172251
262144 , 697294 , 67970 , 697540
524288 , 1395563 , 137430 , 1395735
1 , 3759 , 2587 , 4001
2 , 3620 , 2489 , 3907
4 , 3714 , 2572 , 4057
16 , 3428 , 2360 , 3695
64 , 3578 , 2346 , 3813
256 , 4006 , 2358 , 4268
1024 , 5943 , 2476 , 6201
4096 , 13506 , 2948 , 13765
16384 , 45267 , 5865 , 45536
65536 , 180223 , 25306 , 180510
262144 , 722975 , 95429 , 723219
524288 , 1437467 , 159276 , 1437680
1 , 3901 , 2718 , 4198
2 , 3599 , 2504 , 3868
4 , 3610 , 2468 , 3865
16 , 3714 , 2570 , 3977
64 , 3716 , 2497 , 3973
256 , 4260 , 2495 , 4511
1024 , 6172 , 2709 , 6427
4096 , 13608 , 3103 , 13873
16384 , 45585 , 6123 , 45852
65536 , 172173 , 16791 , 172441
262144 , 696622 , 68485 , 696858
524288 , 1397380 , 136913 , 1397578
1 , 4278 , 2979 , 4497
2 , 3789 , 2540 , 4050
4 , 3657 , 2538 , 3908
16 , 3762 , 2554 , 4019
64 , 3800 , 2518 , 4017
256 , 4256 , 2539 , 4540
1024 , 6105 , 2642 , 6363
4096 , 13777 , 3199 , 14032
16384 , 45495 , 6012 , 45781
65536 , 171559 , 16506 , 171841
262144 , 697188 , 67825 , 697414
524288 , 1394702 , 136452 , 1394867
1 , 3852 , 2673 , 4081
2 , 3588 , 2500 , 3862
4 , 3592 , 2472 , 3844
16 , 3757 , 2502 , 4009
64 , 3787 , 2490 , 4038
256 , 4175 , 2519 , 4426
1024 , 6191 , 2664 , 6444
4096 , 13574 , 3091 , 13824
16384 , 45456 , 5978 , 45713
65536 , 172162 , 16619 , 172428
262144 , 697037 , 68031 , 697269
524288 , 1395510 , 136026 , 1395693
1 , 3771 , 2591 , 4018
2 , 3606 , 2408 , 3858
4 , 3584 , 2435 , 3825
16 , 3563 , 2375 , 3864
64 , 3541 , 2263 , 3785
256 , 4066 , 2362 , 4331
1024 , 15861 , 12330 , 16130
4096 , 23325 , 3111 , 23602
16384 , 45642 , 5893 , 45923
65536 , 172165 , 16761 , 172458
262144 , 703316 , 75584 , 703564
524288 , 1432995 , 155841 , 1433203
1 , 3924 , 2717 , 4166
2 , 4162 , 2635 , 4437
4 , 3690 , 2582 , 3963
16 , 3725 , 2541 , 3978
64 , 3725 , 2489 , 3981
256 , 4209 , 2540 , 4479
1024 , 6165 , 2705 , 6418
4096 , 13605 , 3117 , 13857
16384 , 45616 , 6247 , 45869
65536 , 171955 , 16707 , 172221
262144 , 698011 , 68607 , 698245
524288 , 1396493 , 136270 , 1396663
1 , 3808 , 2670 , 4034
2 , 3626 , 2458 , 3902
4 , 3678 , 2526 , 3930
16 , 3655 , 2490 , 3909
64 , 3756 , 2496 , 4007
256 , 4216 , 2496 , 4467
1024 , 6163 , 2680 , 6415
4096 , 13717 , 3168 , 13968
16384 , 45444 , 6030 , 45687
65536 , 172364 , 16616 , 172638
262144 , 697296 , 68097 , 697524
524288 , 1396021 , 136478 , 1396199
1 , 3743 , 2629 , 3972
2 , 3657 , 2497 , 3924
4 , 3619 , 2498 , 3870
16 , 3694 , 2529 , 3942
64 , 3779 , 2491 , 4030
256 , 4204 , 2540 , 4455
1024 , 6171 , 2640 , 6427
4096 , 13652 , 3147 , 13911
16384 , 45411 , 5988 , 45670
65536 , 171741 , 16448 , 172009
262144 , 695751 , 67857 , 695991
524288 , 1432921 , 136710 , 1433160
1 , 3961 , 2951 , 4223
2 , 3631 , 2492 , 3906
4 , 4161 , 2634 , 4432
16 , 3792 , 2651 , 4066
64 , 3730 , 2451 , 4016
256 , 4042 , 2313 , 4264
1024 , 5911 , 2425 , 6188
4096 , 13454 , 2896 , 13702
16384 , 45530 , 6090 , 45786
65536 , 172309 , 16797 , 172592
262144 , 750460 , 102964 , 750678
524288 , 1440094 , 183430 , 1440257
1 , 3896 , 2707 , 4174
2 , 3666 , 2470 , 3934
4 , 3629 , 2473 , 3880
16 , 3703 , 2548 , 3955
64 , 3768 , 2510 , 4017
256 , 4262 , 2546 , 4522
1024 , 6145 , 2680 , 6401
4096 , 13586 , 3104 , 13836
16384 , 47173 , 6260 , 47457
65536 , 172050 , 16749 , 172315
262144 , 699138 , 69707 , 699348
524288 , 1397240 , 136837 , 1397427
1 , 3908 , 2677 , 4131
2 , 3630 , 2418 , 3886
4 , 3665 , 2511 , 3915
16 , 3660 , 2502 , 3912
64 , 3796 , 2528 , 4049
256 , 4161 , 2517 , 4410
1024 , 6197 , 2651 , 6446
4096 , 13658 , 3133 , 13919
16384 , 45424 , 6074 , 45685
65536 , 171734 , 16491 , 171997
262144 , 697675 , 69205 , 697919
524288 , 1395818 , 137050 , 1395993
1 , 3837 , 2657 , 4066
2 , 4101 , 2556 , 4375
4 , 3681 , 2596 , 3950
16 , 3752 , 2532 , 4008
64 , 3732 , 2495 , 3956
256 , 4196 , 2478 , 4459
1024 , 6209 , 2649 , 6474
4096 , 13575 , 3071 , 13834
16384 , 45423 , 5992 , 45695
65536 , 171946 , 16625 , 172214
262144 , 706921 , 76902 , 707158
524288 , 1395069 , 136051 , 1395240
1 , 3725 , 2553 , 3953
2 , 3549 , 2413 , 3820
4 , 3612 , 2429 , 3864
16 , 3633 , 2496 , 3894
64 , 3639 , 2358 , 3937
256 , 4087 , 2373 , 4388
1024 , 6012 , 2494 , 6272
4096 , 13496 , 3016 , 13786
16384 , 45231 , 5825 , 45489
65536 , 172365 , 16693 , 172649
262144 , 695884 , 66301 , 696125
524288 , 1420840 , 143352 , 1421038
1 , 3930 , 2753 , 4174
2 , 3608 , 2467 , 3865
4 , 3592 , 2456 , 3855
16 , 3774 , 2518 , 4017
64 , 3704 , 2484 , 3968
256 , 4191 , 2487 , 4452
1024 , 6232 , 2672 , 6504
4096 , 13626 , 3097 , 13891
16384 , 45415 , 6071 , 45681
65536 , 171852 , 16525 , 172133
262144 , 697769 , 69526 , 698003
524288 , 1397511 , 136792 , 1397714
1 , 3875 , 2666 , 4119
2 , 4154 , 2607 , 4434
4 , 3708 , 2662 , 3971
16 , 3737 , 2528 , 4000
64 , 3751 , 2495 , 4001
256 , 4237 , 2548 , 4525
1024 , 6214 , 2705 , 6489
4096 , 13760 , 3141 , 14022
16384 , 45356 , 5948 , 45637
65536 , 171634 , 16517 , 171924
262144 , 697490 , 68204 , 697719
524288 , 1415617 , 137413 , 1415800
1 , 3898 , 2796 , 4145
2 , 3616 , 2479 , 3893
4 , 3586 , 2461 , 3850
16 , 3793 , 2527 , 4069
64 , 3771 , 2485 , 4038
256 , 4240 , 2499 , 4504
1024 , 6232 , 2656 , 6494
4096 , 13555 , 3097 , 13818
16384 , 45562 , 6043 , 45827
65536 , 172477 , 16866 , 172768
262144 , 697399 , 68305 , 697636
524288 , 1394470 , 136542 , 1394656
1 , 3870 , 2630 , 4110
2 , 17260 , 2688 , 17530
4 , 17204 , 2648 , 17482
16 , 17614 , 2684 , 17876
64 , 17463 , 2671 , 17727
256 , 17854 , 2646 , 18140
1024 , 19676 , 2591 , 19926
4096 , 27097 , 3079 , 27345
16384 , 59555 , 5740 , 59829
65536 , 172177 , 16364 , 172453
262144 , 724371 , 64168 , 724607
524288 , 1532750 , 137375 , 1532921
1 , 4089 , 2671 , 4357
2 , 12804 , 2358 , 13088
4 , 3680 , 2432 , 3963
16 , 3737 , 2553 , 4022
64 , 3704 , 2471 , 3967
256 , 4208 , 2492 , 4472
1024 , 6213 , 2648 , 6482
4096 , 13645 , 3146 , 13909
16384 , 45542 , 6004 , 45811
65536 , 172088 , 16696 , 172368
262144 , 717276 , 68752 , 717518
524288 , 1397960 , 136325 , 1398156
1 , 3895 , 2654 , 4133
2 , 3635 , 2436 , 3922
4 , 3669 , 2496 , 3948
16 , 3729 , 2495 , 4004
64 , 4303 , 2681 , 4566
256 , 4313 , 2716 , 4619
1024 , 6238 , 2668 , 6503
4096 , 13705 , 3207 , 14008
16384 , 45458 , 6021 , 45723
65536 , 171695 , 16472 , 171982
262144 , 717976 , 68708 , 718243
524288 , 1397537 , 137908 , 1397727
1 , 3912 , 2672 , 4163
2 , 3596 , 2443 , 3881
4 , 3631 , 2481 , 3895
16 , 3735 , 2574 , 4008
64 , 3775 , 2535 , 4054
256 , 4224 , 2501 , 4489
1024 , 6174 , 2679 , 6439
4096 , 13574 , 3120 , 13843
16384 , 45515 , 6028 , 45786
65536 , 173654 , 16905 , 173940
262144 , 695728 , 68343 , 696009
524288 , 1394106 , 136596 , 1394313
1 , 3855 , 2577 , 4081
2 , 3535 , 2426 , 3807
4 , 3623 , 2452 , 3883
16 , 3603 , 2407 , 3853
64 , 3743 , 2449 , 4008
256 , 4172 , 2498 , 4462
1024 , 5984 , 2511 , 6245
4096 , 13484 , 2959 , 13729
16384 , 45357 , 5898 , 45611
